system,comet_score,sid
Microsoft-WMT19-document-level.6808,0.6251685619,726
Microsoft-WMT19-document-level.6808,0.9056196809,1853
Microsoft-WMT19-document-level.6808,0.7344931364,1846
Microsoft-WMT19-document-level.6808,0.6740296483,1026
Microsoft-WMT19-document-level.6808,0.752242744,261
Microsoft-WMT19-document-level.6808,0.9638866782,1293
Microsoft-WMT19-document-level.6808,0.7256717086,1281
Microsoft-WMT19-document-level.6808,0.9754365087,970
Microsoft-WMT19-document-level.6808,0.6861812472,721
Microsoft-WMT19-document-level.6808,0.9023517966,777
Microsoft-WMT19-document-level.6808,0.5411632657,1992
Microsoft-WMT19-document-level.6808,0.8017514348,209
Microsoft-WMT19-document-level.6808,0.7128395438,1629
Microsoft-WMT19-document-level.6808,0.8036867976,1041
Microsoft-WMT19-document-level.6808,0.7292737961,915
Microsoft-WMT19-document-level.6808,0.9369770885,773
Microsoft-WMT19-document-level.6808,0.9421032071,774
Microsoft-WMT19-document-level.6808,0.923807323,781
Microsoft-WMT19-document-level.6808,0.7579149008,710
Microsoft-WMT19-document-level.6808,0.7768003345,957
Microsoft-WMT19-document-level.6808,0.5765452981,966
Microsoft-WMT19-document-level.6808,0.4487478733,713
Microsoft-WMT19-document-level.6808,0.6915801764,962
Microsoft-WMT19-document-level.6808,0.7418394685,1289
Microsoft-WMT19-document-level.6808,0.8825711012,176
Microsoft-WMT19-document-level.6808,0.8233942389,907
Microsoft-WMT19-document-level.6808,0.7999397516,905
Microsoft-WMT19-document-level.6808,0.9405694008,912
Microsoft-WMT19-document-level.6808,0.8960437179,1045
Microsoft-WMT19-document-level.6808,0.893517077,212
Microsoft-WMT19-document-level.6808,0.8621339202,1990
Microsoft-WMT19-document-level.6808,0.8333274722,787
Microsoft-WMT19-document-level.6808,0.7115372419,711
Microsoft-WMT19-document-level.6808,0.4149499536,714
Microsoft-WMT19-document-level.6808,0.435117662,715
Microsoft-WMT19-document-level.6808,0.6272823811,720
Microsoft-WMT19-document-level.6808,0.8580062985,1277
Microsoft-WMT19-document-level.6808,0.8766159415,260
Microsoft-WMT19-document-level.6808,0.6657959223,1025
Microsoft-WMT19-document-level.6808,0.7507236004,1849
Microsoft-WMT19-document-level.6808,0.8556241989,1851
Microsoft-WMT19-document-level.6808,0.798632741,1852
Microsoft-WMT19-document-level.6808,0.8103275895,1290
Microsoft-WMT19-document-level.6808,0.8732441068,954
Microsoft-WMT19-document-level.6808,0.8162515163,950
Microsoft-WMT19-document-level.6808,0.8400726914,953
Microsoft-WMT19-document-level.6808,0.7471774817,1022
Microsoft-WMT19-document-level.6808,0.8685050607,1847
Microsoft-WMT19-document-level.6808,0.8851471543,1278
Microsoft-WMT19-document-level.6808,0.8677930236,1284
Microsoft-WMT19-document-level.6808,0.9044262767,1288
Microsoft-WMT19-document-level.6808,0.9699248075,1054
Microsoft-WMT19-document-level.6808,0.7228898406,204
Microsoft-WMT19-document-level.6808,0.4894438982,210
Microsoft-WMT19-document-level.6808,0.6243159175,217
Microsoft-WMT19-document-level.6808,0.9541017413,224
Microsoft-WMT19-document-level.6808,0.9534217119,779
Microsoft-WMT19-document-level.6808,0.8975340128,784
Microsoft-WMT19-document-level.6808,0.8167296052,969
Microsoft-WMT19-document-level.6808,0.747604847,958
Microsoft-WMT19-document-level.6808,0.5760617256,959
Microsoft-WMT19-document-level.6808,0.8179023862,263
Microsoft-WMT19-document-level.6808,0.6997790337,266
Microsoft-WMT19-document-level.6808,0.8353763819,1291
Microsoft-WMT19-document-level.6808,0.9261036515,944
Microsoft-WMT19-document-level.6808,0.9043208957,955
Microsoft-WMT19-document-level.6808,0.8572118282,1838
Microsoft-WMT19-document-level.6808,0.7033178806,1292
Microsoft-WMT19-document-level.6808,0.8630512357,271
Microsoft-WMT19-document-level.6808,0.7307982445,177
Microsoft-WMT19-document-level.6808,0.7604307532,899
Microsoft-WMT19-document-level.6808,0.6257611513,909
Microsoft-WMT19-document-level.6808,0.7585596442,918
Microsoft-WMT19-document-level.6808,0.7969533801,223
Microsoft-WMT19-document-level.6808,0.7639451623,225
Microsoft-WMT19-document-level.6808,0.6637344956,1995
Microsoft-WMT19-document-level.6808,0.7630739808,707
Microsoft-WMT19-document-level.6808,0.4692438245,725
Microsoft-WMT19-document-level.6808,0.8474565148,1279
Microsoft-WMT19-document-level.6808,0.8563821912,1286
Microsoft-WMT19-document-level.6808,0.7424526215,951
Microsoft-WMT19-document-level.6808,0.9081293344,1021
Microsoft-WMT19-document-level.6808,1.001576185,1840
Microsoft-WMT19-document-level.6808,0.5291184783,902
Microsoft-WMT19-document-level.6808,0.3955276608,916
Microsoft-WMT19-document-level.6808,0.7954361439,202
Microsoft-WMT19-document-level.6808,0.7695347667,1993
Microsoft-WMT19-document-level.6808,0.5229962468,708
Microsoft-WMT19-document-level.6808,0.6590740681,712
Microsoft-WMT19-document-level.6808,0.8892174959,1276
Microsoft-WMT19-document-level.6808,0.6292334199,1285
Microsoft-WMT19-document-level.6808,0.7838950157,268
Microsoft-WMT19-document-level.6808,0.8446249366,1837
Microsoft-WMT19-document-level.6808,0.6876375675,896
Microsoft-WMT19-document-level.6808,0.7870346904,903
Microsoft-WMT19-document-level.6808,0.8964133859,914
Microsoft-WMT19-document-level.6808,0.8307258487,1053
Microsoft-WMT19-document-level.6808,0.8328064084,786
Microsoft-WMT19-document-level.6808,0.8061294556,729
Microsoft-WMT19-document-level.6808,0.6816770434,961
Microsoft-WMT19-document-level.6808,0.7307994962,963
Microsoft-WMT19-document-level.6808,0.8239535689,264
Microsoft-WMT19-document-level.6808,0.71550107,943
Microsoft-WMT19-document-level.6808,0.8505875468,946
Microsoft-WMT19-document-level.6808,0.8505495191,1023
Microsoft-WMT19-document-level.6808,0.5858346224,199
Microsoft-WMT19-document-level.6808,0.5906291008,201
Microsoft-WMT19-document-level.6808,0.9613102078,203
Microsoft-WMT19-document-level.6808,0.7932847142,222
Microsoft-WMT19-document-level.6808,0.8630492091,1996
Microsoft-WMT19-document-level.6808,0.8528798223,780
Microsoft-WMT19-document-level.6808,0.9462023377,783
Microsoft-WMT19-document-level.6808,0.8753637075,788
Microsoft-WMT19-document-level.6808,0.7228807807,719
Microsoft-WMT19-document-level.6808,0.6212800145,968
Microsoft-WMT19-document-level.6808,0.9379780293,269
Microsoft-WMT19-document-level.6808,0.8202545047,258
Microsoft-WMT19-document-level.6808,1.008980513,267
Microsoft-WMT19-document-level.6808,0.8702642918,948
Microsoft-WMT19-document-level.6808,0.9073067307,1836
Microsoft-WMT19-document-level.6808,0.9380123615,1854
Microsoft-WMT19-document-level.6808,0.7110654712,208
Microsoft-WMT19-document-level.6808,0.5575089455,211
Microsoft-WMT19-document-level.6808,0.5094618797,1994
Microsoft-WMT19-document-level.6808,0.6299150586,770
Microsoft-WMT19-document-level.6808,0.6425757408,728
Microsoft-WMT19-document-level.6808,0.8974480033,1275
Microsoft-WMT19-document-level.6808,0.9034101367,1280
Microsoft-WMT19-document-level.6808,0.8609284759,259
Microsoft-WMT19-document-level.6808,0.7704079747,945
Microsoft-WMT19-document-level.6808,0.869746685,270
Microsoft-WMT19-document-level.6808,0.6178944111,898
Microsoft-WMT19-document-level.6808,0.8258456588,900
Microsoft-WMT19-document-level.6808,0.646455884,1051
Microsoft-WMT19-document-level.6808,0.6741124988,215
Microsoft-WMT19-document-level.6808,0.9503546357,220
Microsoft-WMT19-document-level.6808,0.7055184841,1991
Microsoft-WMT19-document-level.6808,0.7929686308,772
Microsoft-WMT19-document-level.6808,0.8449646235,778
Microsoft-WMT19-document-level.6808,0.7029260993,709
Microsoft-WMT19-document-level.6808,0.9058846831,727
Microsoft-WMT19-document-level.6808,0.7427386045,964
Microsoft-WMT19-document-level.6808,0.7086741328,965
Microsoft-WMT19-document-level.6808,0.8243623376,956
Microsoft-WMT19-document-level.6808,0.8484582305,1042
Microsoft-WMT19-document-level.6808,0.657060802,1043
Microsoft-WMT19-document-level.6808,0.7012801766,1630
Microsoft-WMT19-document-level.6808,0.9236099124,1631
Microsoft-WMT19-document-level.6808,0.9380574822,1626
Microsoft-WMT19-document-level.6808,0.9608150125,1627
Microsoft-WMT19-document-level.6808,0.8639979362,221
Microsoft-WMT19-document-level.6808,0.7399836183,723
Microsoft-WMT19-document-level.6808,0.7794023752,949
Microsoft-WMT19-document-level.6808,1.002708554,1842
Microsoft-WMT19-document-level.6808,0.7639300227,1848
Microsoft-WMT19-document-level.6808,0.6560863853,1024
Microsoft-WMT19-document-level.6808,0.9494475722,1843
Microsoft-WMT19-document-level.6808,0.733938992,1845
Microsoft-WMT19-document-level.6808,0.8382740617,1625
Microsoft-WMT19-document-level.6808,0.8427128196,1047
Microsoft-WMT19-document-level.6808,0.8498875499,917
Microsoft-WMT19-document-level.6808,0.6214408875,911
Microsoft-WMT19-document-level.6808,0.8457486033,901
Microsoft-WMT19-document-level.6808,0.9417331219,1841
Microsoft-WMT19-document-level.6808,0.876686275,947
Microsoft-WMT19-document-level.6808,0.6476234794,265
Microsoft-WMT19-document-level.6808,0.7199902534,967
Microsoft-WMT19-document-level.6808,0.8323361278,960
Microsoft-WMT19-document-level.6808,0.5519328713,724
Microsoft-WMT19-document-level.6808,0.589216888,722
Microsoft-WMT19-document-level.6808,0.7979786992,716
Microsoft-WMT19-document-level.6808,0.6481876969,706
Microsoft-WMT19-document-level.6808,0.9143536687,776
