system,comet_score,sid
online-A.0,0.8467513919,965
online-A.0,0.5852586031,172
online-A.0,0.8439938426,63
online-A.0,0.6382956505,231
online-A.0,0.5391148925,895
online-A.0,0.4462080598,776
online-A.0,0.7419425249,178
online-A.0,0.6437129974,936
online-A.0,0.466955483,104
online-A.0,0.5629851222,687
online-A.0,0.282073915,72
online-A.0,0.45517537,238
online-A.0,0.4037429094,424
online-A.0,0.825584054,873
online-A.0,0.8812451959,320
online-A.0,0.8344882727,530
online-A.0,0.7468926311,740
online-A.0,0.6097249389,70
online-A.0,0.7161827683,58
online-A.0,0.588496387,744
online-A.0,0.6325650215,196
online-A.0,0.6317997575,834
online-A.0,0.4876362085,482
online-A.0,0.5520674586,336
online-A.0,0.7357302308,66
online-A.0,0.87693578,787
online-A.0,0.5879319906,148
online-A.0,0.6544173956,663
online-A.0,0.4783637524,201
online-A.0,0.3263247311,315
online-A.0,0.7504876256,428
online-A.0,0.7786999941,942
online-A.0,0.5377988815,786
online-A.0,0.6502067447,652
online-A.0,0.6058612466,188
online-A.0,0.8614262938,268
online-A.0,0.5975227952,105
online-A.0,0.6359903216,617
online-A.0,0.7055479884,586
online-A.0,0.6483424902,351
online-A.0,0.6973825097,814
online-A.0,0.8046270013,580
online-A.0,0.7308246493,100
online-A.0,0.8391010761,384
online-A.0,0.7619401813,581
online-A.0,0.7349207401,244
online-A.0,0.8086432219,536
online-A.0,0.6687119007,436
online-A.0,0.7269958258,79
online-A.0,0.2045618892,653
online-A.0,0.6816553473,122
online-A.0,0.7895843387,257
online-A.0,0.7414030433,875
online-A.0,0.6963960528,552
online-A.0,0.6723359823,252
online-A.0,0.7266004682,658
online-A.0,0.7812610269,509
online-A.0,0.8421395421,963
online-A.0,0.5485518575,362
online-A.0,0.6998748779,928
online-A.0,0.7519509792,689
online-A.0,0.7131876349,659
online-A.0,0.9332643151,903
online-A.0,0.7992466092,772
online-A.0,0.7600502968,11
online-A.0,0.6142401099,19
online-A.0,0.7329232693,703
online-A.0,0.4748443365,893
online-A.0,0.6932142377,144
online-A.0,0.7863060236,616
online-A.0,0.8681993484,925
online-A.0,0.6912193894,704
online-A.0,0.7176172137,720
online-A.0,0.7859104276,234
online-A.0,0.5751078725,496
online-A.0,0.7580097318,134
online-A.0,0.6329091191,284
online-A.0,0.8013033271,968
online-A.0,0.7723083496,943
online-A.0,0.6637893319,888
online-A.0,0.786863327,2
online-A.0,0.7291701436,473
online-A.0,0.7215745449,404
online-A.0,0.8977543712,526
online-A.0,0.692925632,796
online-A.0,0.6596345305,465
online-A.0,0.7982248664,970
online-A.0,0.8179093599,578
online-A.0,0.5718861222,463
online-A.0,0.6496107578,670
online-A.0,0.7504640222,75
online-A.0,0.5603460073,701
online-A.0,0.825234592,241
online-A.0,0.6587844491,855
online-A.0,0.8340499401,393
online-A.0,0.7466233373,592
online-A.0,0.6972665191,396
online-A.0,0.7990543246,846
online-A.0,0.9483744502,239
online-A.0,0.8565863371,841
online-A.0,0.6689875722,923
online-A.0,0.6525239944,831
online-A.0,0.6662427783,480
online-A.0,0.5230657458,501
online-A.0,0.8123770356,922
online-A.0,0.5107666254,649
online-A.0,0.34342134,92
online-A.0,0.4930651784,425
online-A.0,0.6333960891,359
online-A.0,0.5750382543,162
online-A.0,0.4919934273,948
online-A.0,0.3236881495,896
online-A.0,0.7932934761,738
online-A.0,0.5989342332,784
online-A.0,0.6875090003,416
online-A.0,0.4738075733,982
online-A.0,0.7072812915,202
online-A.0,0.6502298713,716
online-A.0,0.6365431547,243
online-A.0,0.7378743887,955
online-A.0,0.6710788012,26
online-A.0,0.8933791518,691
online-A.0,0.6340144277,189
online-A.0,0.7520218492,937
online-A.0,0.7015610337,643
online-A.0,0.71380198,545
online-A.0,0.9028251767,390
online-A.0,0.5975801349,769
online-A.0,0.5354788899,461
online-A.0,0.6220784783,197
online-A.0,0.5270187855,309
online-A.0,0.7838703394,826
online-A.0,0.7641888261,411
online-A.0,0.878008306,721
online-A.0,0.6911513209,211
online-A.0,0.7026706934,283
online-A.0,0.6176886559,203
online-A.0,0.8030029535,700
online-A.0,0.6448125243,730
online-A.0,0.6962168217,916
online-A.0,0.7602691054,917
online-A.0,0.5787565112,85
online-A.0,0.8177139163,281
online-A.0,0.7927264571,285
online-A.0,0.6834251285,150
online-A.0,0.7262211442,905
online-A.0,0.7862194777,475
online-A.0,0.6968616843,310
online-A.0,0.6344721913,920
online-A.0,0.7341385484,807
online-A.0,0.5458069444,205
online-A.0,0.6794107556,754
online-A.0,0.8878535032,634
online-A.0,0.6405889392,149
online-A.0,0.3610025048,502
online-A.0,0.6674805284,108
online-A.0,0.6428266168,677
online-A.0,0.7611606717,168
online-A.0,0.7025848627,517
online-A.0,0.7334362864,204
online-A.0,0.589568913,271
online-A.0,0.6893000007,719
online-A.0,0.6158689857,698
online-A.0,0.4780030251,230
online-A.0,0.6360996962,12
online-A.0,0.733223021,333
online-A.0,0.8268505335,865
online-A.0,0.7259569764,61
online-A.0,0.6606243253,847
online-A.0,0.8200733066,821
online-A.0,0.8199422956,179
online-A.0,0.8102027774,227
online-A.0,0.4440490603,459
online-A.0,0.8730454445,397
online-A.0,0.6430440545,209
online-A.0,0.587880075,971
online-A.0,0.7930416465,259
online-A.0,0.7187069058,382
online-A.0,0.8028920293,338
online-A.0,0.5731428266,489
online-A.0,0.8238915205,350
online-A.0,0.7580729127,768
online-A.0,0.6540817618,306
online-A.0,0.7179086208,505
online-A.0,0.7190156579,957
online-A.0,0.7701117992,474
online-A.0,0.7883756757,591
online-A.0,0.6084944606,366
online-A.0,0.7018117309,443
online-A.0,0.7939653397,806
online-A.0,0.6890656352,54
online-A.0,0.7132286429,426
online-A.0,0.5703561306,637
online-A.0,0.7565547824,484
online-A.0,0.5362986922,614
online-A.0,0.5633548498,111
online-A.0,0.621607244,735
online-A.0,0.7069754004,876
online-A.0,0.7332497835,9
online-A.0,0.9977892041,747
online-A.0,0.5544266105,490
online-A.0,0.4684135318,976
online-A.0,0.6239460707,321
online-A.0,0.5776478648,431
online-A.0,0.580393672,469
online-A.0,0.4723806381,415
online-A.0,0.8353248239,910
online-A.0,0.5457337499,780
online-A.0,0.8567635417,651
online-A.0,0.5827410817,247
online-A.0,0.8074191809,125
online-A.0,0.6679827571,126
online-A.0,0.6322029233,60
online-A.0,0.7523402572,566
online-A.0,0.8609725833,14
online-A.0,0.6759847999,513
online-A.0,0.8586784005,402
online-A.0,0.697152555,228
online-A.0,0.8055973649,706
online-A.0,0.7483235002,155
online-A.0,0.6976901293,585
online-A.0,0.6602359414,958
online-A.0,0.6814055443,901
online-A.0,0.889133811,123
online-A.0,0.912520349,303
online-A.0,0.7461516261,53
online-A.0,0.8822998405,264
online-A.0,0.7877740264,823
online-A.0,0.7779081464,542
